Year,total_docs,hits,documents,prop_doct
2011,15,0,0,0.0
2012,13,4,1,0.08
2013,14,0,0,0.0
2014,11,0,0,0.0
2015,15,0,0,0.0
2016,22,4,1,0.05
2017,22,2,1,0.05
2018,39,3,2,0.05
2019,36,6,2,0.06
2020,49,6,3,0.06
2021,86,3,2,0.02
2022,126,28,7,0.06
