,Sector,intersection,health,climate
0,Alternative Energy,1.0,15.0,17.0
1,Automobiles & Parts,1.0,96.0,28.0
2,Chemicals,3.0,65.0,34.0
3,Construction & Materials,1.0,77.0,10.0
4,Diversified,1.0,2.0,3.0
5,Electricity,6.0,214.0,125.0
6,Financial Services,1.0,55.5,8.5
7,Fixed Line Telecommunications,0.0,1.5,1.5
8,General Industrials,0.0,4.5,0.0
9,General Retailers,0.0,10.0,3.0
10,Household Goods & Home Cons...,0.0,9.0,4.0
11,Mining,0.0,155.0,21.5
12,"Oil Equipment, Services & D...",0.0,8.0,1.0
13,Personal Goods,5.0,126.0,48.0
14,Real Estate Investment & Se...,6.0,79.0,69.0
15,Real Estate Investment Trusts,0.0,9.0,1.0
16,Support Services,0.6,24.2,0.6
17,Travel & Leisure,0.0,5.0,1.0
