Year,total_docs,hits,documents,prop_doct
2011,1,0,0,0.0
2012,2,0,0,0.0
2013,4,0,0,0.0
2014,1,0,0,0.0
2016,1,0,0,0.0
2017,3,0,0,0.0
2018,2,0,0,0.0
2019,3,6,1,0.33
2020,1,0,0,0.0
2022,1,0,0,0.0
