,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,2.0,59.0,124.0,185.0
1,1,Asia,2012,4.0,73.0,133.0,210.0
2,2,Asia,2013,4.0,116.0,275.0,395.0
3,3,Asia,2014,3.0,84.0,322.0,409.0
4,4,Asia,2015,0.0,103.0,225.0,328.0
5,5,Asia,2016,2.0,114.0,419.0,535.0
6,6,Asia,2017,6.0,83.0,311.0,400.0
7,7,Asia,2018,2.0,67.0,441.0,510.0
8,8,Asia,2019,15.0,71.0,360.0,446.0
9,9,Asia,2020,1.0,64.0,99.0,164.0
10,10,Asia,2021,0.0,53.0,134.0,187.0
11,11,Asia,2022,1.0,74.0,122.0,197.0
