,Year,intersection,health,climate
0,2011,2.0,124.0,59.0
1,2012,4.0,133.0,73.0
2,2013,4.0,275.0,116.0
3,2014,3.0,322.0,84.0
4,2015,0.0,225.0,103.0
5,2016,2.0,419.0,114.0
6,2017,6.0,311.0,83.0
7,2018,2.0,441.0,67.0
8,2019,15.0,360.0,71.0
9,2020,1.0,99.0,64.0
10,2021,0.0,134.0,53.0
11,2022,1.0,122.0,74.0
