,Sector,intersection,health,climate
0,Alternative Energy,0.0,0.0,1.0
1,Banks,0.0,64.0,24.0
2,Diversified,0.0,2.0,0.0
3,General Industrials,0.0,0.0,0.0
4,Oil & Gas Producers,0.0,4.0,4.0
