year,total_docs,hits,documents,prop_doct
1988,1,0,0,0
1989,3,0,0,0
1990,1,0,0,0
1991,3,0,0,0
1993,1,0,0,0
1995,4,0,0,0
1996,2,0,0,0
1998,2,0,0,0
1999,3,0,0,0
2000,2,0,0,0
2001,3,0,0,0
2002,8,1,1,0.12
2003,7,0,0,0
2004,4,0,0,0
2005,6,2,1,0.17
2006,8,1,1,0.12
2007,30,9,3,0.1
2008,34,0,0,0
2009,44,4,2,0.05
2010,39,2,1,0.03
2011,35,5,4,0.11
2012,19,7,2,0.11
2013,20,8,4,0.2
2014,47,21,12,0.26
2015,29,5,3,0.1
2016,30,6,4,0.13
2017,24,3,2,0.08
2018,38,7,6,0.16
2019,43,6,4,0.09
2020,91,16,9,0.1
