,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2012,1.0,54.0,49.0,104.0
1,Medium,2015,0.0,0.0,16.0,16.0
2,Medium,2016,0.0,0.0,33.0,33.0
3,Medium,2017,1.0,4.0,106.0,111.0
4,Medium,2018,1.0,1.0,4.0,6.0
5,Medium,2019,0.0,3.0,83.0,86.0
6,Medium,2020,0.0,5.0,43.0,48.0
7,Medium,2021,2.0,24.0,160.0,186.0
8,Medium,2022,1.0,15.0,48.0,64.0
