Year,total_docs,hits,documents,prop_doct
2011,22,0,0,0.0
2012,26,3,1,0.04
2013,34,1,1,0.03
2014,26,6,5,0.19
2015,34,0,0,0.0
2016,37,11,4,0.11
2017,44,4,3,0.07
2018,46,9,6,0.13
2019,53,20,12,0.23
2020,69,19,11,0.16
2021,137,43,20,0.15
2022,154,39,22,0.14
