,Year,intersection,health,climate
0,2011,0.0,82.0,4.0
1,2012,1.0,78.0,4.0
2,2013,0.0,104.0,0.0
3,2014,0.0,89.0,2.0
4,2015,0.0,101.0,0.0
5,2017,2.0,42.0,29.0
6,2018,9.0,70.0,24.0
7,2019,13.0,456.0,35.0
8,2020,1.0,97.0,14.0
9,2021,26.0,869.0,149.0
10,2022,75.0,676.0,197.0
