year,HDI Level (2021),total_counts,climate_prop,health_prop,intersection_prop
2017,Low,29,0.93,0.59,0.1
2018,Low,25,0.88,0.6,0.24
2019,Low,31,1,0.71,0.23
2020,Low,29,0.83,1,0.55
2021,Low,31,0.87,1,0.45
2022,Low,31,0.97,0.97,0.48
1970,High,3,0,1,0
1971,High,8,0,1,0
1972,High,8,0,1,0
1973,High,8,0.12,0.88,0
1974,High,11,0,1,0
1975,High,7,0,1,0
1976,High,10,0,1,0
1977,High,12,0,1,0
1978,High,5,0,1,0
1979,High,16,0.06,0.94,0
1980,High,12,0.08,1,0
1981,High,11,0,1,0
1982,High,11,0,1,0
1983,High,15,0.07,1,0
1984,High,11,0,1,0
1985,High,15,0,1,0
1986,High,10,0,1,0
1987,High,18,0.06,1,0
1988,High,19,0.32,0.84,0
1989,High,22,0.45,0.77,0.05
1990,High,20,0.35,0.8,0
1991,High,19,0.32,0.84,0.05
1992,High,23,0.39,0.74,0
1993,High,25,0.24,0.88,0.04
1994,High,23,0.09,0.96,0
1995,High,21,0.24,1,0.05
1996,High,21,0.29,0.95,0
1997,High,22,0.32,0.82,0
1998,High,25,0.24,0.76,0
1999,High,22,0.09,0.91,0
2000,High,35,0.17,0.97,0.03
2001,High,30,0.23,0.87,0
2002,High,33,0.3,0.94,0.06
2003,High,32,0.19,0.94,0.06
2004,High,30,0.2,0.97,0
2005,High,35,0.29,0.91,0.06
2006,High,29,0.24,0.97,0.03
2007,High,42,0.93,0.6,0.14
2008,High,44,0.95,0.73,0.32
2009,High,45,0.93,0.6,0.27
2010,High,43,0.95,0.56,0.21
2011,High,41,0.93,0.66,0.27
2012,High,37,0.89,0.62,0.14
2013,High,41,0.73,0.78,0.2
2014,High,43,0.72,0.93,0.19
2015,High,42,0.95,0.55,0.14
2016,High,41,0.95,0.63,0.22
2017,High,42,0.93,0.57,0.12
2018,High,40,0.85,0.75,0.38
2019,High,43,0.93,0.56,0.14
2020,High,48,0.71,1,0.38
2021,High,48,0.92,1,0.54
2022,High,46,0.91,0.96,0.48
