Year,Intersection
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0.03
1989,0.03
1990,0.01
1991,0.05
1992,0
1993,0.05
1994,0
1995,0.04
1996,0.05
1997,0
1998,0.02
1999,0.07
2000,0.02
2001,0.09
2002,0.07
2003,0.07
2004,0.05
2005,0.06
2006,0.15
2007,0.37
2008,0.32
2009,0.45
2010,0.43
2011,0.42
2012,0.24
2013,0.26
2014,0.51
2015,0.25
2016,0.33
2017,0.23
2018,0.39
2019,0.6
2020,1.43
2021,1.79
2022,1.3
