Year,total_docs,hits,documents,prop_doct
2011,5,0,0,0.0
2012,8,0,0,0.0
2013,9,0,0,0.0
2014,7,0,0,0.0
2015,13,0,0,0.0
2016,8,0,0,0.0
2017,10,0,0,0.0
2018,11,1,1,0.09
2019,13,1,1,0.08
2020,14,1,1,0.07
2021,31,6,3,0.1
2022,25,4,2,0.08
