,Sector,intersection,health,climate
0,Banks,0.0,22.0,0.0
1,Construction & Materials,1.0,23.0,1.0
2,Food Producers,0.0,26.5,4.5
3,Support Services,0.0,15.0,2.0
4,Travel & Leisure,0.0,3.0,5.0
