,Year,intersection
0,2011,14.0
1,2012,3.0
2,2013,1.0
3,2014,8.0
4,2015,4.0
5,2016,6.0
6,2017,1.0
7,2018,5.0
8,2019,16.0
9,2020,17.0
10,2021,40.0
11,2022,79.0
