Year,total_docs,hits,documents,prop_doct
2011,17,4,1,0.06
2012,19,0,0,0.0
2013,17,0,0,0.0
2014,19,0,0,0.0
2015,22,1,1,0.05
2016,24,0,0,0.0
2017,26,2,2,0.08
2018,32,4,3,0.09
2019,44,8,5,0.11
2020,60,4,3,0.05
2021,102,10,6,0.06
2022,103,23,16,0.16
