,Sector,intersection,health,climate
0,Banks,1.0,3.0,16.0
1,Construction & Materials,2.0,18.0,14.0
2,Electronic & Electrical Equ...,2.0,7.33,1.33
3,General Industrials,0.67,3.33,1.33
4,General Retailers,0.0,14.0,2.0
5,Industrial Engineering,1.0,4.0,2.0
6,Pharmaceuticals & Biotechno...,3.0,11.0,4.0
7,Real Estate Investment & Se...,1.0,16.0,1.0
8,Support Services,20.0,240.0,123.0
