,Year,Intersection (Prop)
0,2011,0.0
1,2012,0.17
2,2013,0.17
3,2014,0.29
4,2015,0.38
5,2016,0.2
6,2017,0.29
7,2018,0.3
8,2019,0.2
9,2020,0.43
10,2021,0.65
11,2022,0.67
