,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011,5.0,21.0,109.0,135.0
1,1,Africa,2012,1.0,32.0,85.0,118.0
2,2,Africa,2013,0.0,9.0,50.0,59.0
3,3,Africa,2014,0.0,5.0,52.0,57.0
4,4,Africa,2015,2.0,19.0,98.0,119.0
5,5,Africa,2016,3.0,49.0,143.0,195.0
6,6,Africa,2017,4.0,49.0,99.0,152.0
7,7,Africa,2018,2.0,41.0,226.0,269.0
8,8,Africa,2019,11.0,109.0,412.0,532.0
9,9,Africa,2020,11.0,25.0,85.0,121.0
10,10,Africa,2021,5.0,81.0,435.0,521.0
11,11,Africa,2022,14.0,103.0,499.0,616.0
