,Year,Intersection (Prop)
0,2011,0.5
1,2012,0.17
2,2013,0.0
3,2014,0.0
4,2015,0.09
5,2016,0.16
6,2017,0.06
7,2018,0.07
8,2019,0.19
9,2020,0.27
10,2021,0.13
11,2022,0.24
