,Year,Intersection (Prop)
0,2011,0.21
1,2012,0.36
2,2013,0.41
3,2014,0.29
4,2015,0.23
5,2016,0.11
6,2017,0.1
7,2018,0.12
8,2019,0.21
9,2020,0.13
10,2021,0.2
11,2022,0.29
