Year,total_docs,hits,documents,prop_doct
2015,1,0,0,0.0
2016,2,1,1,0.5
2018,1,0,0,0.0
2019,1,0,0,0.0
2020,1,0,0,0.0
2021,2,0,0,0.0
2022,2,0,0,0.0
