Year,total_docs,hits,documents,prop_doct
2011,1,0,0,0.0
2012,3,0,0,0.0
2013,4,0,0,0.0
2014,3,0,0,0.0
2015,7,0,0,0.0
2016,7,1,1,0.14
2017,5,0,0,0.0
2018,3,0,0,0.0
2019,7,2,1,0.14
2020,3,0,0,0.0
2021,9,1,1,0.11
2022,12,5,2,0.17
