,WHO,Year,intersection,climate,health,sum,Sector
0,South-East Asia,2021,0.0,0.0,34.0,34.0,Health Care Equipment & Ser...
1,South-East Asia,2022,0.0,0.0,43.0,43.0,Health Care Equipment & Ser...
