Year,total_docs,hits,documents,prop_doct
2011,13,0,0,0.0
2012,21,0,0,0.0
2013,12,0,0,0.0
2014,14,0,0,0.0
2015,22,0,0,0.0
2016,20,0,0,0.0
2017,31,0,0,0.0
2018,38,1,1,0.03
2019,36,5,3,0.08
2020,53,9,4,0.08
2021,105,13,9,0.09
2022,111,20,9,0.08
