,Year,intersection
0,2011,15.0
1,2012,1.0
2,2013,7.0
3,2014,0.0
4,2015,0.0
5,2016,5.0
6,2017,2.0
7,2018,1.0
8,2019,2.0
9,2020,5.0
10,2021,39.0
11,2022,0.0
