,Year,Intersection (Prop)
0,2011,0.32
1,2012,0.22
2,2013,0.04
3,2014,0.0
4,2015,0.25
5,2016,0.14
6,2017,0.4
7,2018,0.41
8,2019,0.28
9,2020,0.64
10,2021,0.72
11,2022,0.7
