,Year,intersection
0,2011,17.0
1,2012,29.0
2,2013,42.0
3,2014,43.0
4,2015,18.0
5,2016,32.0
6,2017,55.0
7,2018,61.0
8,2019,42.0
9,2020,54.0
10,2021,193.0
11,2022,116.0
