,Sector,intersection,health,climate
0,Alternative Energy,0.0,4.0,0.0
1,Automobiles & Parts,0.0,2.0,1.0
2,Banks,3.0,213.0,80.0
3,Diversified,0.0,4.0,0.0
4,Equity Investment Instruments,0.0,6.0,1.5
5,Financial Services,2.0,16.5,27.0
6,Food & Drug Retailers,12.0,153.0,66.0
7,General Industrials,0.0,4.0,0.5
8,General Retailers,4.0,284.0,25.0
9,Media,0.0,0.0,0.0
10,Pharmaceuticals & Biotechno...,0.0,3.0,1.0
11,Software & Computer Services,0.0,2.5,2.0
12,Support Services,0.0,1.5,0.0
13,Technology Hardware & Equip...,0.0,2.0,0.0
