,Year,intersection
0,2011,7.0
1,2012,7.0
2,2013,9.0
3,2014,14.0
4,2015,8.0
5,2016,2.0
6,2017,2.0
7,2018,2.0
8,2019,4.0
9,2020,3.0
10,2021,23.0
11,2022,23.0
