,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2014,6.0,14.0,272.0,292.0,Health Care Equipment & Ser...
1,Europe,2015,0.0,0.0,19.0,19.0,Health Care Equipment & Ser...
2,Europe,2016,1.0,6.0,55.0,62.0,Health Care Equipment & Ser...
3,Europe,2022,0.0,5.0,12.0,17.0,Health Care Equipment & Ser...
