,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011,0.0,0.0,10.0,10.0
1,Medium,2012,0.0,34.0,22.0,56.0
2,Medium,2013,0.0,2.0,2.0,4.0
3,Medium,2014,0.0,0.0,0.0,0.0
4,Medium,2015,1.0,19.0,52.0,72.0
5,Medium,2016,1.0,28.0,79.0,108.0
6,Medium,2017,0.0,8.0,68.0,76.0
7,Medium,2018,1.0,4.0,40.0,45.0
8,Medium,2019,0.0,12.0,35.0,47.0
9,Medium,2020,0.0,4.0,12.0,16.0
10,Medium,2021,1.0,17.0,116.0,134.0
11,Medium,2022,2.0,21.0,137.0,160.0
