,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,0.0,0.0,1.0,1.0
1,1,Asia,2012,0.0,0.0,6.0,6.0
2,2,Asia,2013,2.0,10.0,64.0,76.0
3,3,Asia,2014,2.0,14.0,46.0,62.0
4,4,Asia,2015,3.0,12.0,48.0,63.0
5,5,Asia,2016,0.0,22.0,68.0,90.0
6,6,Asia,2017,0.0,29.0,63.0,92.0
7,7,Asia,2018,1.0,116.0,22.0,139.0
8,8,Asia,2019,7.0,124.0,42.0,173.0
9,9,Asia,2020,0.0,20.0,58.0,78.0
10,10,Asia,2021,4.0,256.0,299.0,559.0
11,11,Asia,2022,5.0,180.0,321.0,506.0
