,Year,intersection
0,2011,5.0
1,2012,1.0
2,2013,3.0
3,2014,2.0
4,2015,3.0
5,2016,3.0
6,2017,0.0
7,2018,0.0
8,2019,0.0
9,2020,0.0
10,2021,16.0
11,2022,16.0
