,Sector,intersection,health,climate
0,Banks,1.0,32.5,17.0
1,Construction & Materials,2.5,52.0,12.0
2,Diversified,6.0,257.0,59.0
3,Financial Services,0.0,2.5,6.0
4,Fixed Line Telecommunications,1.0,20.0,13.0
5,Forestry & Paper,0.0,4.0,5.0
6,General Retailers,2.0,101.0,28.0
7,Health Care Equipment & Ser...,5.0,848.0,6.0
8,Industrial Metals & Mining,0.0,39.0,4.0
9,Industrial Transportation,5.0,117.0,31.0
10,Oil & Gas Producers,18.0,206.0,203.0
11,Personal Goods,0.0,0.0,1.0
12,Pharmaceuticals & Biotechno...,1.0,12.0,2.0
13,Real Estate Investment & Se...,0.0,5.0,0.0
14,Software & Computer Services,0.0,95.0,1.0
15,Support Services,2.2,56.8,15.0
16,Technology Hardware & Equip...,0.0,52.0,16.0
17,Travel & Leisure,7.5,106.0,37.5
