,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2014,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
1,Europe,2018,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
2,Europe,2020,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
3,Europe,2021,5.0,6.0,848.0,859.0,Health Care Equipment & Ser...
4,Europe,2022,7.0,29.0,316.0,352.0,Health Care Equipment & Ser...
