,Year,LC_grouping,Climate,Health,Intersection
0,2014,Africa,0.0,1.0,0.0
1,2015,Africa,1.0,1.0,0.0
2,2018,Africa,1.0,1.0,1.0
3,2019,Africa,1.0,1.0,1.0
4,2020,Africa,1.0,1.0,1.0
5,2021,Africa,1.0,1.0,1.0
