,Year,intersection
0,2011,20.0
1,2012,38.0
2,2013,14.0
3,2014,54.0
4,2015,28.0
5,2016,13.0
6,2017,8.0
7,2018,19.0
8,2019,15.0
9,2020,20.0
10,2021,71.0
11,2022,78.0
