,Sector,intersection,climate,health
0,Construction & Materials,0.0,0.0,7.0
1,Financial Services,0.0,0.0,3.0
2,Health Care Equipment & Ser...,0.0,1.0,82.0
3,Industrial Engineering,0.0,0.0,0.0
4,"Oil Equipment, Services & D...",11.0,23.0,234.0
5,Software & Computer Services,0.0,4.0,1.0
6,Support Services,0.0,0.0,80.0
7,Travel & Leisure,1.0,1.0,10.0
