,Year,intersection
0,2011,0.0
1,2012,5.0
2,2013,5.0
3,2014,0.0
4,2015,1.0
5,2016,3.0
6,2017,4.0
7,2018,12.0
8,2019,2.0
9,2020,0.0
10,2021,20.0
11,2022,94.0
