Year,total_docs,hits,documents,prop_doct
2011,2,0,0,0.0
2012,2,0,0,0.0
2013,2,0,0,0.0
2014,1,0,0,0.0
2015,3,0,0,0.0
2016,2,0,0,0.0
2017,2,0,0,0.0
2018,5,2,1,0.2
2019,3,0,0,0.0
2020,4,0,0,0.0
2021,13,2,2,0.15
2022,12,3,2,0.17
