,Sector,Climate,Health,Intersection,Year
0,Beverages,1.0,1.0,0.0,2022
1,Construction & Materials,1.0,1.0,0.2,2022
2,Electronic & Electrical Equ...,0.0,1.0,0.0,2022
3,General Industrials,1.0,1.0,0.0,2022
4,Industrial Engineering,0.83,1.0,0.17,2022
5,Support Services,0.67,0.0,0.0,2022
