Year,total_docs,hits,documents,prop_doct
2015,1,0,0,0.0
2016,2,0,0,0.0
2017,5,0,0,0.0
2018,5,0,0,0.0
2019,5,0,0,0.0
2020,4,0,0,0.0
2021,9,1,1,0.11
2022,7,1,1,0.14
