,Year,intersection
0,2012,0.0
1,2013,0.0
2,2014,0.0
3,2015,1.0
4,2016,2.0
5,2017,8.0
6,2018,12.0
7,2019,10.0
8,2020,6.0
9,2021,19.0
10,2022,19.0
