,Year,intersection
0,2011,24.0
1,2012,33.0
2,2013,23.0
3,2014,45.0
4,2015,34.0
5,2016,51.0
6,2017,57.0
7,2018,42.0
8,2019,43.0
9,2020,108.0
10,2021,244.0
11,2022,289.0
