,Sector,Climate,Health,Intersection,Year
0,"Oil Equipment, Services & D...",1.0,1.0,0.0,2021
1,Software & Computer Services,0.0,0.0,0.0,2021
2,Support Services,0.0,1.0,0.0,2021
