,Year,Intersection (Prop)
0,2012,0.0
1,2014,0.0
2,2015,0.0
3,2016,0.0
4,2017,0.2
5,2018,0.0
6,2019,0.2
7,2020,0.5
8,2021,0.5
9,2022,0.22
