,Year,Intersection (Prop)
0,2011,0.15
1,2012,0.07
2,2013,0.06
3,2014,0.08
4,2015,0.08
5,2016,0.1
6,2017,0.08
7,2018,0.08
8,2019,0.11
9,2020,0.15
10,2021,0.2
11,2022,0.19
