,Sector,intersection,health,climate
0,Construction & Materials,0.0,1.0,2.0
1,Electricity,0.0,115.0,11.0
2,Financial Services,1.5,13.5,8.0
3,General Retailers,5.0,80.0,12.0
4,Industrial Metals & Mining,10.5,175.5,29.0
5,Mobile Telecommunications,0.0,0.0,0.0
6,Oil & Gas Producers,0.5,82.0,9.0
