Year,total_docs,hits,documents,prop_doct
2011,374,17,10,0.03
2012,427,28,16,0.04
2013,458,21,11,0.02
2014,455,25,15,0.03
2015,519,33,14,0.03
2016,559,48,25,0.04
2017,642,67,39,0.06
2018,709,81,52,0.07
2019,829,163,88,0.11
2020,1029,148,96,0.09
2021,2097,391,196,0.09
2022,2337,434,225,0.1
