Year,total_docs,hits,documents,prop_doct
2013,1,0,0,0.0
2014,1,0,0,0.0
2015,1,0,0,0.0
2016,1,0,0,0.0
2017,3,0,0,0.0
2018,2,0,0,0.0
2020,4,7,1,0.25
2021,4,3,1,0.25
2022,6,2,1,0.17
