year,total_docs,hits,documents,prop_doct
2011,282,26,24,0.09
2012,327,20,17,0.05
2013,343,29,21,0.06
2014,357,26,17,0.05
2015,408,37,27,0.07
2016,440,51,40,0.09
2017,484,57,48,0.1
2018,553,71,59,0.11
2019,637,151,123,0.19
2020,791,113,99,0.13
