,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2012,3.0,54.0,128.0,185.0
1,1,Asia,2013,0.0,8.0,18.0,26.0
2,2,Asia,2014,6.0,69.0,166.0,241.0
3,3,Asia,2015,0.0,32.0,34.0,66.0
4,4,Asia,2016,0.0,4.0,55.0,59.0
5,5,Asia,2017,0.0,3.0,58.0,61.0
6,6,Asia,2018,1.0,22.0,63.0,86.0
7,7,Asia,2019,3.0,46.0,98.0,147.0
8,8,Asia,2020,3.0,5.0,87.0,95.0
9,9,Asia,2021,0.0,0.0,20.0,20.0
10,10,Asia,2022,0.0,0.0,47.0,47.0
