Sector,total_texts,health_texts,climate_texts,intersection_texts,percent_int,percent_CC,percent_PH
Aerospace&Defense,29,8,6,3,10.344827586206897,20.689655172413794,27.586206896551722
AlternativeEnergy,21,7,6,4,19.047619047619047,28.57142857142857,33.33333333333333
Automobiles&Parts,62,17,9,4,6.451612903225806,14.516129032258066,27.419354838709676
Banks,67,12,9,1,1.4925373134328357,13.432835820895523,17.91044776119403
Beverages,50,20,19,3,6,38,40
Chemicals,96,28,21,11,11.458333333333332,21.875,29.166666666666668
Construction&Materials,134,39,36,10,7.462686567164178,26.865671641791046,29.1044776119403
Diversified,32,2,2,0,0,6.25,6.25
Electricity,41,19,17,7,17.073170731707318,41.46341463414634,46.34146341463415
Electronic&ElectricalEqu...,99,9,8,2,2.0202020202020203,8.080808080808081,9.090909090909092
EquityInvestmentInstruments,9,0,0,0,0,0,0
FinancialServices,192,48,52,9,4.6875,27.083333333333332,25
FixedLineTelecommunications,27,10,9,1,3.7037037037037033,33.33333333333333,37.03703703703704
Food&DrugRetailers,7,1,1,1,14.285714285714285,14.285714285714285,14.285714285714285
FoodProducers,105,35,27,11,10.476190476190476,25.71428571428571,33.33333333333333
Forestry&Paper,32,13,11,3,9.375,34.375,40.625
"Gas,Water&Multiutilities",32,7,7,3,9.375,21.875,21.875
GeneralIndustrials,218,46,44,10,4.587155963302752,20.18348623853211,21.100917431192663
GeneralRetailers,92,18,19,3,3.260869565217391,20.652173913043477,19.565217391304348
HealthCareEquipment&Ser...,43,10,5,0,0,11.627906976744185,23.25581395348837
HouseholdGoods&HomeCons...,37,10,8,2,5.405405405405405,21.62162162162162,27.027027027027028
IndustrialEngineering,71,16,16,3,4.225352112676056,22.535211267605636,22.535211267605636
IndustrialMetals&Mining,54,32,23,8,14.814814814814813,42.592592592592595,59.25925925925925
IndustrialTransportation,81,18,16,3,3.7037037037037033,19.753086419753085,22.22222222222222
LeisureGoods,11,1,1,0,0,9.090909090909092,9.090909090909092
LifeInsurance,11,0,0,0,0,0,0
Media,68,15,16,1,1.4705882352941175,23.52941176470588,22.058823529411764
Mining,23,6,4,3,13.043478260869565,17.391304347826086,26.08695652173913
MobileTelecommunications,38,14,12,5,13.157894736842104,31.57894736842105,36.84210526315789
NonequityInvestmentInstru...,3,0,0,0,0,0,0
NonlifeInsurance,22,2,2,0,0,9.090909090909092,9.090909090909092
Oil&GasProducers,55,27,23,13,23.636363636363637,41.81818181818181,49.09090909090909
"OilEquipment,Services&D...",32,5,5,2,6.25,15.625,15.625
PersonalGoods,65,15,10,1,1.5384615384615385,15.384615384615385,23.076923076923077
Pharmaceuticals&Biotechno...,56,21,16,4,7.142857142857142,28.57142857142857,37.5
RealEstateInvestment&Se...,60,6,4,2,3.3333333333333335,6.666666666666667,10
RealEstateInvestmentTrusts,12,2,2,1,8.333333333333332,16.666666666666664,16.666666666666664
Software&ComputerServices,113,21,16,3,2.6548672566371683,14.15929203539823,18.58407079646018
SupportServices,308,58,52,11,3.571428571428571,16.883116883116884,18.83116883116883
TechnologyHardware&Equip...,79,23,22,8,10.126582278481013,27.848101265822784,29.11392405063291
Travel&Leisure,74,17,12,3,4.054054054054054,16.216216216216218,22.972972972972975
