Sector,total_texts,health_texts,climate_texts,intersection_texts,percent_int,percent_CC,percent_PH
Aerospace&Defense,29,18,15,3,10.344827586206897,51.724137931034484,62.06896551724138
AlternativeEnergy,21,15,12,9,42.857142857142854,57.14285714285714,71.42857142857143
Automobiles&Parts,62,43,32,14,22.58064516129032,51.61290322580645,69.35483870967742
Banks,67,42,42,6,8.955223880597014,62.68656716417911,62.68656716417911
Beverages,50,35,30,13,26,60,70
Chemicals,96,60,55,31,32.29166666666667,57.291666666666664,62.5
Construction&Materials,134,82,75,27,20.149253731343283,55.970149253731336,61.19402985074627
Diversified,32,17,13,7,21.875,40.625,53.125
Electricity,41,26,26,10,24.390243902439025,63.41463414634146,63.41463414634146
Electronic&ElectricalEqu...,99,56,39,9,9.090909090909092,39.39393939393939,56.56565656565656
EquityInvestmentInstruments,9,3,3,1,11.11111111111111,33.33333333333333,33.33333333333333
FinancialServices,192,114,110,30,15.625,57.291666666666664,59.375
FixedLineTelecommunications,27,15,14,2,7.4074074074074066,51.85185185185185,55.55555555555556
Food&DrugRetailers,7,4,4,3,42.857142857142854,57.14285714285714,57.14285714285714
FoodProducers,105,80,59,29,27.61904761904762,56.19047619047619,76.19047619047619
Forestry&Paper,32,22,17,8,25,53.125,68.75
"Gas,Water&Multiutilities",32,19,17,9,28.125,53.125,59.375
GeneralIndustrials,218,109,87,33,15.137614678899084,39.908256880733944,50
GeneralRetailers,92,54,44,18,19.565217391304348,47.82608695652174,58.69565217391305
HealthCareEquipment&Ser...,43,31,22,6,13.953488372093023,51.162790697674424,72.09302325581395
HouseholdGoods&HomeCons...,37,22,16,8,21.62162162162162,43.24324324324324,59.45945945945946
IndustrialEngineering,71,38,35,12,16.901408450704224,49.29577464788733,53.52112676056338
IndustrialMetals&Mining,54,39,30,10,18.51851851851852,55.55555555555556,72.22222222222221
IndustrialTransportation,81,44,36,14,17.28395061728395,44.44444444444444,54.32098765432099
LeisureGoods,11,8,6,1,9.090909090909092,54.54545454545454,72.72727272727273
LifeInsurance,11,5,6,0,0,54.54545454545454,45.45454545454545
Media,68,40,35,7,10.294117647058822,51.470588235294116,58.82352941176471
Mining,23,14,11,6,26.08695652173913,47.82608695652174,60.86956521739131
MobileTelecommunications,38,28,24,7,18.421052631578945,63.1578947368421,73.68421052631578
NonequityInvestmentInstru...,3,0,0,0,0,0,0
NonlifeInsurance,22,11,6,0,0,27.27272727272727,50
Oil&GasProducers,55,36,35,17,30.909090909090907,63.63636363636363,65.45454545454545
"OilEquipment,Services&D...",32,23,14,6,18.75,43.75,71.875
PersonalGoods,65,48,36,13,20,55.38461538461539,73.84615384615385
Pharmaceuticals&Biotechno...,56,43,30,20,35.714285714285715,53.57142857142857,76.78571428571429
RealEstateInvestment&Se...,60,30,28,4,6.666666666666667,46.666666666666664,50
RealEstateInvestmentTrusts,12,11,9,5,41.66666666666667,75,91.66666666666666
Software&ComputerServices,113,61,37,9,7.964601769911504,32.743362831858406,53.98230088495575
SupportServices,308,157,125,29,9.415584415584416,40.58441558441558,50.97402597402597
TechnologyHardware&Equip...,79,41,34,12,15.18987341772152,43.037974683544306,51.89873417721519
Travel&Leisure,74,50,46,16,21.62162162162162,62.16216216216216,67.56756756756756
