Sector,total_texts,health_texts,climate_texts,intersection_texts,percent_int,percent_CC,percent_PH
Aerospace&Defense,14,11,9,1,7.142857142857142,64.28571428571429,78.57142857142857
AlternativeEnergy,5,3,4,0,0,80,60
Automobiles&Parts,49,28,17,6,12.244897959183673,34.69387755102041,57.14285714285714
Banks,35,24,22,1,2.857142857142857,62.857142857142854,68.57142857142857
Beverages,54,28,26,7,12.962962962962962,48.148148148148145,51.85185185185185
Chemicals,60,33,26,12,20,43.333333333333336,55.00000000000001
Construction&Materials,94,51,50,11,11.702127659574469,53.191489361702125,54.25531914893617
Diversified,3,3,3,1,33.33333333333333,100,100
Electricity,34,25,23,11,32.35294117647059,67.64705882352942,73.52941176470588
Electronic&ElectricalEqu...,60,25,21,6,10,35,41.66666666666667
EquityInvestmentInstruments,7,2,0,0,0,0,28.57142857142857
FinancialServices,138,80,77,14,10.144927536231885,55.79710144927537,57.971014492753625
FixedLineTelecommunications,21,11,13,6,28.57142857142857,61.904761904761905,52.38095238095239
Food&DrugRetailers,2,1,1,0,0,50,50
FoodProducers,70,37,29,11,15.714285714285714,41.42857142857143,52.85714285714286
Forestry&Paper,29,16,20,3,10.344827586206897,68.96551724137932,55.172413793103445
"Gas,Water&Multiutilities",18,12,11,3,16.666666666666664,61.111111111111114,66.66666666666666
GeneralIndustrials,134,61,56,12,8.955223880597014,41.7910447761194,45.52238805970149
GeneralRetailers,55,27,22,6,10.909090909090908,40,49.09090909090909
HealthCareEquipment&Ser...,22,16,8,3,13.636363636363635,36.36363636363637,72.72727272727273
HouseholdGoods&HomeCons...,21,12,9,3,14.285714285714285,42.857142857142854,57.14285714285714
IndustrialEngineering,53,27,23,7,13.20754716981132,43.39622641509434,50.943396226415096
IndustrialMetals&Mining,58,37,29,9,15.517241379310345,50,63.793103448275865
IndustrialTransportation,56,34,29,2,3.571428571428571,51.78571428571429,60.71428571428571
LeisureGoods,4,3,3,1,25,75,75
LifeInsurance,3,0,0,0,0,0,0
Media,56,30,25,2,3.571428571428571,44.642857142857146,53.57142857142857
Mining,13,10,8,6,46.15384615384615,61.53846153846154,76.92307692307693
MobileTelecommunications,28,18,16,5,17.857142857142858,57.14285714285714,64.28571428571429
NonlifeInsurance,6,3,2,1,16.666666666666664,33.33333333333333,50
NotApplicable,45,0,0,0,0,0,0
Oil&GasProducers,47,34,29,12,25.53191489361702,61.702127659574465,72.3404255319149
"OilEquipment,Services&D...",11,10,7,3,27.27272727272727,63.63636363636363,90.9090909090909
PersonalGoods,54,29,21,3,5.555555555555555,38.88888888888889,53.70370370370371
Pharmaceuticals&Biotechno...,42,27,16,5,11.904761904761903,38.095238095238095,64.28571428571429
RealEstateInvestment&Se...,25,11,12,2,8,48,44
RealEstateInvestmentTrusts,3,1,1,1,33.33333333333333,33.33333333333333,33.33333333333333
Software&ComputerServices,56,28,20,2,3.571428571428571,35.714285714285715,50
SupportServices,163,84,73,18,11.042944785276074,44.785276073619634,51.533742331288344
TechnologyHardware&Equip...,54,37,33,13,24.074074074074073,61.111111111111114,68.51851851851852
Travel&Leisure,65,29,21,2,3.076923076923077,32.30769230769231,44.61538461538462
