Sector,total_texts,health_texts,climate_texts,intersection_texts,percent_int,percent_CC,percent_PH
Aerospace&Defense,25,16,12,2,8,48,64
AlternativeEnergy,18,13,11,8,44.44444444444444,61.111111111111114,72.22222222222221
Automobiles&Parts,60,36,26,8,13.333333333333334,43.333333333333336,60
Banks,81,43,37,10,12.345679012345679,45.67901234567901,53.086419753086425
Beverages,43,28,23,10,23.25581395348837,53.48837209302325,65.11627906976744
Chemicals,70,51,45,22,31.428571428571427,64.28571428571429,72.85714285714285
Construction&Materials,157,90,68,23,14.64968152866242,43.31210191082803,57.324840764331206
Diversified,21,14,10,4,19.047619047619047,47.61904761904761,66.66666666666666
Electricity,34,21,23,8,23.52941176470588,67.64705882352942,61.76470588235294
Electronic&ElectricalEqu...,98,44,30,7,7.142857142857142,30.612244897959183,44.89795918367347
EquityInvestmentInstruments,11,6,5,3,27.27272727272727,45.45454545454545,54.54545454545454
FinancialServices,191,99,112,34,17.801047120418847,58.63874345549738,51.832460732984295
FixedLineTelecommunications,31,22,17,3,9.67741935483871,54.83870967741935,70.96774193548387
Food&DrugRetailers,9,4,5,2,22.22222222222222,55.55555555555556,44.44444444444444
FoodProducers,104,68,54,21,20.192307692307693,51.92307692307693,65.38461538461539
Forestry&Paper,32,19,16,3,9.375,50,59.375
"Gas,Water&Multiutilities",24,14,13,4,16.666666666666664,54.166666666666664,58.333333333333336
GeneralIndustrials,191,104,86,24,12.56544502617801,45.0261780104712,54.45026178010471
GeneralRetailers,74,39,32,11,14.864864864864865,43.24324324324324,52.702702702702695
HealthCareEquipment&Ser...,42,29,19,6,14.285714285714285,45.23809523809524,69.04761904761905
HouseholdGoods&HomeCons...,37,20,18,3,8.108108108108109,48.64864864864865,54.054054054054056
IndustrialEngineering,78,38,31,10,12.82051282051282,39.743589743589745,48.717948717948715
IndustrialMetals&Mining,68,37,32,10,14.705882352941178,47.05882352941176,54.41176470588235
IndustrialTransportation,77,44,37,11,14.285714285714285,48.05194805194805,57.14285714285714
LeisureGoods,15,10,7,3,20,46.666666666666664,66.66666666666666
LifeInsurance,13,8,7,0,0,53.84615384615385,61.53846153846154
Media,78,45,37,5,6.41025641025641,47.43589743589743,57.692307692307686
Mining,24,12,9,6,25,37.5,50
MobileTelecommunications,53,36,29,18,33.9622641509434,54.71698113207547,67.9245283018868
NonequityInvestmentInstru...,4,0,0,0,0,0,0
NonlifeInsurance,17,9,7,4,23.52941176470588,41.17647058823529,52.94117647058824
NotApplicable,2,0,0,0,0,0,0
Oil&GasProducers,56,40,36,19,33.92857142857143,64.28571428571429,71.42857142857143
"OilEquipment,Services&D...",26,20,16,6,23.076923076923077,61.53846153846154,76.92307692307693
PersonalGoods,77,42,33,8,10.38961038961039,42.857142857142854,54.54545454545454
Pharmaceuticals&Biotechno...,48,35,28,16,33.33333333333333,58.333333333333336,72.91666666666666
RealEstateInvestment&Se...,58,32,26,11,18.96551724137931,44.827586206896555,55.172413793103445
RealEstateInvestmentTrusts,10,8,7,6,60,70,80
Software&ComputerServices,121,69,51,10,8.264462809917356,42.14876033057851,57.02479338842975
SupportServices,315,160,125,19,6.031746031746032,39.682539682539684,50.79365079365079
TechnologyHardware&Equip...,86,47,39,12,13.953488372093023,45.348837209302324,54.65116279069767
Tobacco,1,0,0,0,0,0,0
Travel&Leisure,82,55,53,14,17.073170731707318,64.63414634146342,67.07317073170732
