Sector,total_texts,health_texts,climate_texts,intersection_texts,percent_int,percent_CC,percent_PH
Aerospace&Defense,37,20,16,3,8.108108108108109,43.24324324324324,54.054054054054056
AlternativeEnergy,26,15,14,11,42.30769230769231,53.84615384615385,57.692307692307686
Automobiles&Parts,77,54,41,16,20.77922077922078,53.246753246753244,70.12987012987013
Banks,83,54,46,13,15.66265060240964,55.42168674698795,65.06024096385542
Beverages,54,34,31,12,22.22222222222222,57.407407407407405,62.96296296296296
Chemicals,112,70,68,38,33.92857142857143,60.71428571428571,62.5
Construction&Materials,156,94,88,38,24.358974358974358,56.41025641025641,60.256410256410255
Diversified,95,50,45,11,11.578947368421053,47.368421052631575,52.63157894736842
Electricity,45,32,35,20,44.44444444444444,77.77777777777779,71.11111111111111
Electronic&ElectricalEqu...,101,54,39,14,13.861386138613863,38.613861386138616,53.46534653465347
EquityInvestmentInstruments,13,7,6,2,15.384615384615385,46.15384615384615,53.84615384615385
FinancialServices,226,126,125,42,18.58407079646018,55.309734513274336,55.75221238938053
FixedLineTelecommunications,18,10,8,1,5.555555555555555,44.44444444444444,55.55555555555556
Food&DrugRetailers,6,2,2,2,33.33333333333333,33.33333333333333,33.33333333333333
FoodProducers,99,67,55,24,24.242424242424242,55.55555555555556,67.67676767676768
Forestry&Paper,26,18,13,7,26.923076923076923,50,69.23076923076923
"Gas,Water&Multiutilities",21,16,14,8,38.095238095238095,66.66666666666666,76.19047619047619
GeneralIndustrials,230,135,112,41,17.82608695652174,48.69565217391305,58.69565217391305
GeneralRetailers,92,49,41,12,13.043478260869565,44.565217391304344,53.2608695652174
HealthCareEquipment&Ser...,50,38,27,12,24,54,76
HouseholdGoods&HomeCons...,36,26,20,7,19.444444444444446,55.55555555555556,72.22222222222221
IndustrialEngineering,65,32,27,10,15.384615384615385,41.53846153846154,49.23076923076923
IndustrialGoods&Services,1,0,0,0,0,0,0
IndustrialMetals&Mining,44,26,25,10,22.727272727272727,56.81818181818182,59.09090909090909
IndustrialTransportation,69,39,33,14,20.28985507246377,47.82608695652174,56.52173913043478
LeisureGoods,17,11,12,4,23.52941176470588,70.58823529411765,64.70588235294117
LifeInsurance,12,7,7,3,25,58.333333333333336,58.333333333333336
Media,72,44,35,10,13.88888888888889,48.61111111111111,61.111111111111114
Mining,24,17,17,8,33.33333333333333,70.83333333333334,70.83333333333334
MobileTelecommunications,32,25,20,11,34.375,62.5,78.125
NonequityInvestmentInstru...,5,0,0,0,0,0,0
NonlifeInsurance,20,13,10,3,15,50,65
Oil&GasProducers,58,33,32,24,41.37931034482759,55.172413793103445,56.896551724137936
"OilEquipment,Services&D...",38,23,17,6,15.789473684210526,44.73684210526316,60.526315789473685
PersonalGoods,74,50,38,15,20.27027027027027,51.35135135135135,67.56756756756756
Pharmaceuticals&Biotechno...,73,53,38,24,32.87671232876712,52.054794520547944,72.6027397260274
RealEstate,1,1,1,0,0,100,100
RealEstateInvestment&Se...,64,42,36,19,29.6875,56.25,65.625
RealEstateInvestmentTrusts,9,8,8,4,44.44444444444444,88.88888888888889,88.88888888888889
Retail,1,1,1,0,0,100,100
Software&ComputerServices,150,87,57,15,10,38,57.99999999999999
SupportServices,338,191,147,30,8.875739644970414,43.49112426035503,56.50887573964497
TechnologyHardware&Equip...,80,45,35,13,16.25,43.75,56.25
Travel&Leisure,80,51,48,12,15,60,63.74999999999999
