,Year,intersection
0,2011,0.0
1,2012,5.0
2,2013,23.0
3,2014,63.0
4,2015,24.0
5,2016,23.0
6,2017,4.0
7,2018,47.0
8,2019,40.0
9,2020,36.0
10,2021,149.0
11,2022,375.0
