Year,total_docs,hits,documents,prop_doct
2011,264,17,10,0.04
2012,306,21,13,0.04
2013,305,18,9,0.03
2014,330,15,11,0.03
2015,372,32,13,0.03
2016,409,45,23,0.06
2017,452,55,36,0.08
2018,509,62,40,0.08
2019,597,134,69,0.12
2020,740,112,71,0.1
2021,1387,258,131,0.09
2022,1559,315,172,0.11
