,Year,intersection
0,2011,1.0
1,2012,6.0
2,2013,11.0
3,2014,5.0
4,2015,2.0
5,2016,10.0
6,2017,11.0
7,2018,7.0
8,2019,9.0
9,2020,10.0
10,2021,12.0
11,2022,25.0
