Year,total_docs,hits,documents,prop_doct
2011,4,0,0,0.0
2012,4,0,0,0.0
2013,2,0,0,0.0
2015,2,0,0,0.0
2016,3,0,0,0.0
2018,3,0,0,0.0
2019,7,1,1,0.14
2020,6,1,1,0.17
2021,6,0,0,0.0
2022,10,1,1,0.1
