,Year,Intersection (Prop)
0,2011,0.09
1,2012,0.4
2,2013,0.19
3,2014,0.14
4,2015,0.13
5,2016,0.15
6,2017,0.14
7,2018,0.21
8,2019,0.19
9,2020,0.29
10,2021,0.3
11,2022,0.53
