,Year,intersection
0,2011,1.0
1,2012,0.0
2,2013,7.0
3,2014,3.0
4,2015,7.0
5,2016,4.0
6,2017,15.0
7,2018,16.0
8,2019,27.0
9,2020,59.0
10,2021,145.0
11,2022,171.0
